#Pixel number	Pixel number	Wavelength (Å)
#(unwindowed CCD)	(CCD window [*,800:3300])	
1487	688	4158.59
1499	700	4199.63
1523	724	4275.11
1596	797	4510.73
1606	807	4545.05
1626	827	4609.57
1641	842	4657.9
1674	875	4764.87
1686	887	4806.02
1699	900	4847.81
1709	910	4879.86
1734	935	4965.08
1777	978	5105.54
1811	1012	5218.2
1866	1067	5400.56
2001	1202	5852.49
2010	1211	5881.9
2029	1230	5944.83
2038	1239	5975.53
2074	1275	6096.16
2110	1311	6217.28
2125	1326	6266.5
2136	1337	6304.79
2145	1346	6334.43
2196	1397	6506.53
2203	1404	6532.88
2223	1424	6598.95
2246	1447	6678.28
2258	1459	6717.04
2268	1469	6752.83
2303	1504	6871.29
2320	1521	6929.47
2331	1532	6965.43
2351	1552	7032.41
2361	1562	7067.22
2384	1585	7147.04
2392	1593	7173.94
2402	1603	7206.98
2413	1614	7245.17
2421	1622	7272.94
2454	1655	7383.98
2470	1671	7438.9
2527	1728	7635.12
2553	1754	7723.98
2618	1819	7948.18
2709	1910	8264.52
2720	1921	8300.33
2784	1985	8521.44
2825	2026	8667.94
2956	2157	9122.97
2985	2186	9224.5
3021	2222	9354.22
